Date,Open,High,Low,Close*,Adj Close**,Volume
Dec 24 2002,1278.58,1278.58,1278.58,1278.58,1278.58,-
Dec 23 2002,1285.60,1285.60,1285.60,1285.60,1285.60,-
Dec 20 2002,1283.26,1283.26,1283.26,1283.26,1283.26,-
Dec 19 2002,1266.79,1266.79,1266.79,1266.79,1266.79,-
Dec 18 2002,1276.36,1276.36,1276.36,1276.36,1276.36,-
Dec 17 2002,1293.26,1293.26,1293.26,1293.26,1293.26,-
Dec 16 2002,1303.85,1303.85,1303.85,1303.85,1303.85,-
Dec 13 2002,1273.83,1273.83,1273.83,1273.83,1273.83,-
Dec 12 2002,1291.16,1291.16,1291.16,1291.16,1291.16,-
Dec 11 2002,1295.91,1295.91,1295.91,1295.91,1295.91,-
Dec 10 2002,1294.91,1294.91,1294.91,1294.91,1294.91,-
Dec 09 2002,1277.05,1277.05,1277.05,1277.05,1277.05,-
Dec 06 2002,1305.99,1305.99,1305.99,1305.99,1305.99,-
Dec 05 2002,1297.80,1297.80,1297.80,1297.80,1297.80,-
Dec 04 2002,1313.54,1313.54,1313.54,1313.54,1313.54,-
Dec 03 2002,1317.65,1317.65,1317.65,1317.65,1317.65,-
Dec 02 2002,1337.35,1337.35,1337.35,1337.35,1337.35,-
Nov 29 2002,1339.89,1339.89,1339.89,1339.89,1339.89,-
Nov 27 2002,1343.47,1343.47,1343.47,1343.47,1343.47,-
Nov 26 2002,1306.79,1306.79,1306.79,1306.79,1306.79,-
Nov 25 2002,1334.52,1334.52,1334.52,1334.52,1334.52,-
Nov 22 2002,1331.17,1331.17,1331.17,1331.17,1331.17,-
Nov 21 2002,1335.75,1335.75,1335.75,1335.75,1335.75,-
Nov 20 2002,1307.61,1307.61,1307.61,1307.61,1307.61,-
Nov 19 2002,1282.61,1282.61,1282.61,1282.61,1282.61,-
Nov 18 2002,1287.79,1287.79,1287.79,1287.79,1287.79,-
Nov 15 2002,1301.28,1301.28,1301.28,1301.28,1301.28,-
Nov 14 2002,1293.21,1293.21,1293.21,1293.21,1293.21,-
Nov 13 2002,1261.97,1261.97,1261.97,1261.97,1261.97,-
Nov 12 2002,1262.14,1262.14,1262.14,1262.14,1262.14,-
Nov 11 2002,1252.42,1252.42,1252.42,1252.42,1252.42,-
Nov 08 2002,1278.94,1278.94,1278.94,1278.94,1278.94,-
Nov 07 2002,1290.15,1290.15,1290.15,1290.15,1290.15,-
Nov 06 2002,1320.04,1320.04,1320.04,1320.04,1320.04,-
Nov 05 2002,1307.80,1307.80,1307.80,1307.80,1307.80,-
Nov 04 2002,1297.69,1297.69,1297.69,1297.69,1297.69,-
Nov 01 2002,1287.13,1287.13,1287.13,1287.13,1287.13,-
Oct 31 2002,1265.41,1265.41,1265.41,1265.41,1265.41,-
Oct 30 2002,1272.25,1272.25,1272.25,1272.25,1272.25,-
Oct 29 2002,1259.79,1259.79,1259.79,1259.79,1259.79,-
Oct 28 2002,1271.20,1271.20,1271.20,1271.20,1271.20,-
Oct 25 2002,1281.81,1281.81,1281.81,1281.81,1281.81,-
